account_id,time,default_rate,r12_gdp_bl,r12_gdp_st
403100,2009,0.1989,-5.223765,-5.223765
403100,2010,0.05461,3.786477,3.786477
403100,2011,,3.344833,3.344833
403100,2012,,0.8923269,0.8923269
403100,2013,,0.5314357,0.5314357
403100,2014,,1.744751,-0.8668542
403100,2015,,1.953805,-1.751212
403100,2016,,1.777671,0.3236178
403100,2017,,1.697906,1.716037
403100,2018,,1.790401,1.769894
403100,2019,,1.601768,1.604487
403100,2020,,1.494786,1.494678
403102,2005,,0.8475649,0.8475649
403102,2006,,3.807042,3.807042
403102,2007,0.0098488,3.335074,3.335074
403102,2008,,0.8056425,0.8056425
403102,2009,0.1989,-5.223765,-5.223765
403102,2010,0.05461,3.786477,3.786477
403102,2011,,3.344833,3.344833
403102,2012,,0.8923269,0.8923269
403102,2013,,0.5314357,0.5314357
403102,2014,,1.744751,-0.8668542
403102,2015,,1.953805,-1.751212
403102,2016,,1.777671,0.3236178
403102,2017,,1.697906,1.716037
403102,2018,,1.790401,1.769894
403102,2019,,1.601768,1.604487
403102,2020,,1.494786,1.494678
403104,2005,,0.8475649,0.8475649
403104,2006,,3.807042,3.807042
403104,2007,0.0098488,3.335074,3.335074
403104,2008,,0.8056425,0.8056425
403104,2009,0.1989,-5.223765,-5.223765
403104,2010,0.05461,3.786477,3.786477
403104,2011,,3.344833,3.344833
403104,2012,,0.8923269,0.8923269
403104,2013,,0.5314357,0.5314357
403104,2014,,1.744751,-0.8668542
403104,2015,,1.953805,-1.751212
403104,2016,,1.777671,0.3236178
403104,2017,,1.697906,1.716037
403104,2018,,1.790401,1.769894
403104,2019,,1.601768,1.604487
403104,2020,,1.494786,1.494678
403107,2005,,0.8475649,0.8475649
403107,2006,,3.807042,3.807042
403107,2007,0.0098488,3.335074,3.335074
403107,2008,,0.8056425,0.8056425
403107,2009,0.1989,-5.223765,-5.223765
403107,2010,0.05461,3.786477,3.786477
403107,2011,,3.344833,3.344833
403107,2012,,0.8923269,0.8923269
403107,2013,,0.5314357,0.5314357
403107,2014,,1.744751,-0.8668542
403107,2015,,1.953805,-1.751212
403107,2016,,1.777671,0.3236178
403107,2017,,1.697906,1.716037
403107,2018,,1.790401,1.769894
403107,2019,,1.601768,1.604487
403107,2020,,1.494786,1.494678
403178,2005,,0.8475649,0.8475649
403178,2006,,3.807042,3.807042
403178,2007,,3.335074,3.335074
403178,2008,0.0039859,0.8056425,0.8056425
403178,2009,0.0125,-5.223765,-5.223765
403178,2010,0.0001,3.786477,3.786477
403178,2011,0.002336,3.344833,3.344833
403178,2012,0.005873,0.8923269,0.8923269
403178,2013,0.008178,0.5314357,0.5314357
403178,2014,,1.744751,-0.8668542
403178,2015,,1.953805,-1.751212
403178,2016,,1.777671,0.3236178
403178,2017,,1.697906,1.716037
403178,2018,,1.790401,1.769894
403178,2019,,1.601768,1.604487
403178,2020,,1.494786,1.494678
403419,2005,,0.8475649,0.8475649
403419,2006,,3.807042,3.807042
403419,2007,,3.335074,3.335074
403419,2008,,0.8056425,0.8056425
403419,2009,,-5.223765,-5.223765
403419,2010,,3.786477,3.786477
403419,2011,,3.344833,3.344833
403419,2012,,0.8923269,0.8923269
403419,2013,0.0169,0.5314357,0.5314357
403419,2014,,1.744751,-0.8668542
403419,2015,,1.953805,-1.751212
403419,2016,,1.777671,0.3236178
403419,2017,,1.697906,1.716037
403419,2018,,1.790401,1.769894
403419,2019,,1.601768,1.604487
403419,2020,,1.494786,1.494678
403421,2005,,0.8475649,0.8475649
403421,2006,,3.807042,3.807042
403421,2007,,3.335074,3.335074
403421,2008,,0.8056425,0.8056425
403421,2009,,-5.223765,-5.223765
403421,2010,,3.786477,3.786477
403421,2011,,3.344833,3.344833
403421,2012,,0.8923269,0.8923269
403421,2013,0.0169,0.5314357,0.5314357
403421,2014,,1.744751,-0.8668542
403421,2015,,1.953805,-1.751212
403421,2016,,1.777671,0.3236178
403421,2017,,1.697906,1.716037
403421,2018,,1.790401,1.769894
403421,2019,,1.601768,1.604487
403421,2020,,1.494786,1.494678
403423,2005,,0.8475649,0.8475649
403423,2006,,3.807042,3.807042
403423,2007,0.01,3.335074,3.335074
403423,2008,0.0184009,0.8056425,0.8056425
403423,2009,0.0169005,-5.223765,-5.223765
403423,2010,0.0001,3.786477,3.786477
403423,2011,,3.344833,3.344833
403423,2012,,0.8923269,0.8923269
403423,2013,,0.5314357,0.5314357
403423,2014,,1.744751,-0.8668542
403423,2015,,1.953805,-1.751212
403423,2016,,1.777671,0.3236178
403423,2017,,1.697906,1.716037
403423,2018,,1.790401,1.769894
403423,2019,,1.601768,1.604487
403423,2020,,1.494786,1.494678
403431,2005,,0.8475649,0.8475649
403431,2006,,3.807042,3.807042
403431,2007,,3.335074,3.335074
403431,2008,0.011,0.8056425,0.8056425
403431,2009,0.0223677,-5.223765,-5.223765
403431,2010,0.0001,3.786477,3.786477
403431,2011,0.01204,3.344833,3.344833
403431,2012,0.004099,0.8923269,0.8923269
403431,2013,0.004099,0.5314357,0.5314357
403431,2014,,1.744751,-0.8668542
403431,2015,,1.953805,-1.751212
403431,2016,,1.777671,0.3236178
403431,2017,,1.697906,1.716037
403431,2018,,1.790401,1.769894
403431,2019,,1.601768,1.604487
403431,2020,,1.494786,1.494678
403525,2005,,0.8475649,0.8475649
403525,2006,,3.807042,3.807042
403525,2007,0.0056045,3.335074,3.335074
403525,2008,0.0067481,0.8056425,0.8056425
403633,2005,,0.8475649,0.8475649
403633,2006,,3.807042,3.807042
403633,2007,0.0021752,3.335074,3.335074
403633,2008,0.0048195,0.8056425,0.8056425
403633,2009,0.0131266,-5.223765,-5.223765
403633,2010,0.0001,3.786477,3.786477
403633,2011,0.002405,3.344833,3.344833
403633,2012,0.002591,0.8923269,0.8923269
403633,2013,0.001352,0.5314357,0.5314357
403633,2014,,1.744751,-0.8668542
403633,2015,,1.953805,-1.751212
403633,2016,,1.777671,0.3236178
403633,2017,,1.697906,1.716037
403633,2018,,1.790401,1.769894
403633,2019,,1.601768,1.604487
403633,2020,,1.494786,1.494678
403823,2005,,0.8475649,0.8475649
403823,2006,,3.807042,3.807042
403823,2007,,3.335074,3.335074
403823,2008,0.014,0.8056425,0.8056425
403823,2009,0.0243,-5.223765,-5.223765
403823,2010,0.0001,3.786477,3.786477
403823,2011,,3.344833,3.344833
403823,2012,,0.8923269,0.8923269
403823,2013,,0.5314357,0.5314357
403823,2014,,1.744751,-0.8668542
403823,2015,,1.953805,-1.751212
403823,2016,,1.777671,0.3236178
403823,2017,,1.697906,1.716037
403823,2018,,1.790401,1.769894
403823,2019,,1.601768,1.604487
403823,2020,,1.494786,1.494678
403840,2005,,0.8475649,0.8475649
403840,2006,,3.807042,3.807042
403840,2007,,3.335074,3.335074
403840,2008,,0.8056425,0.8056425
403840,2009,,-5.223765,-5.223765
403840,2010,0.0001,3.786477,3.786477
403840,2011,,3.344833,3.344833
403840,2012,,0.8923269,0.8923269
403840,2013,,0.5314357,0.5314357
403840,2014,,1.744751,-0.8668542
403840,2015,,1.953805,-1.751212
403840,2016,,1.777671,0.3236178
403840,2017,,1.697906,1.716037
403840,2018,,1.790401,1.769894
403840,2019,,1.601768,1.604487
403840,2020,,1.494786,1.494678
403916,2005,,0.8475649,0.8475649
403916,2006,,3.807042,3.807042
403916,2007,0.0042012,3.335074,3.335074
403916,2008,0.0085,0.8056425,0.8056425
403916,2009,0.0208291,-5.223765,-5.223765
403916,2010,0.0001,3.786477,3.786477
403916,2011,0.002099,3.344833,3.344833
403916,2012,0.002664,0.8923269,0.8923269
403916,2013,0.00243,0.5314357,0.5314357
403916,2014,,1.744751,-0.8668542
403916,2015,,1.953805,-1.751212
403916,2016,,1.777671,0.3236178
403916,2017,,1.697906,1.716037
403916,2018,,1.790401,1.769894
403916,2019,,1.601768,1.604487
403916,2020,,1.494786,1.494678
403929,2005,,0.8475649,0.8475649
403929,2006,,3.807042,3.807042
403929,2007,0.0015119,3.335074,3.335074
403929,2008,0.003466,0.8056425,0.8056425
403929,2009,0.0138521,-5.223765,-5.223765
403929,2010,0.002054,3.786477,3.786477
403929,2011,0.006212,3.344833,3.344833
403929,2012,0.004143,0.8923269,0.8923269
403929,2013,0.0109,0.5314357,0.5314357
403929,2014,,1.744751,-0.8668542
403929,2015,,1.953805,-1.751212
403929,2016,,1.777671,0.3236178
403929,2017,,1.697906,1.716037
403929,2018,,1.790401,1.769894
403929,2019,,1.601768,1.604487
403929,2020,,1.494786,1.494678
404003,2005,,0.8475649,0.8475649
404003,2006,,3.807042,3.807042
404003,2007,0.0245879,3.335074,3.335074
404003,2008,,0.8056425,0.8056425
404003,2009,,-5.223765,-5.223765
404003,2010,,3.786477,3.786477
404003,2011,,3.344833,3.344833
404003,2012,,0.8923269,0.8923269
404003,2013,,0.5314357,0.5314357
404003,2014,,1.744751,-0.8668542
